timestamp,symbol,price,rsi,sma_7,sma_21,sma_50,sma_200,macd,macd_signal,macd_hist,bb_upper,bb_mid,bb_lower,obv,vwap,recomendacion
2025-07-18T00:28:19.156609,BTCUSDT,119581.62,59.91,119539.2286,118841.3657,118679.3048,117386.975,290.905,199.7402,91.1648,120102.337,118859.164,117615.991,23145.296,117450.0519,Comprar
2025-07-18T00:28:21.002310,ETHUSDT,3479.47,54.57,3450.1571,3431.5757,3319.9296,3039.8088,39.5027,41.9262,-2.4234,3491.3326,3435.6045,3379.8764,1134827.7934,3073.0356,Vender
2025-07-18T00:28:22.110303,DOTUSDT,4.287,56.14,4.2094,4.2048,4.1605,3.9712,0.023,0.0173,0.0058,4.2935,4.2078,4.1222,4913563.19,3.9874,Comprar
2025-07-18T00:28:25.394186,ADAUSDT,0.8445,59.64,0.8176,0.8016,0.7734,0.7245,0.0157,0.0136,0.0022,0.8407,0.804,0.7673,178198998.0,0.7367,Comprar
2025-07-18T00:28:25.733808,SANDUSDT,0.3288,58.14,0.3213,0.3192,0.3169,0.3,0.0022,0.0013,0.0009,0.3272,0.3195,0.3117,31192674.0,0.3053,Comprar
2025-07-18T00:28:29.643397,THETAUSDT,0.869,55.14,0.8546,0.8533,0.8459,0.8037,0.0046,0.0034,0.0011,0.8718,0.8542,0.8366,3948507.2,0.81,Comprar
2025-07-18T00:28:30.092376,SUSDT,0.3777,35.2,0.3763,0.3815,0.3747,0.3539,0.0003,0.0015,-0.0012,0.3947,0.382,0.3694,30236661.0,0.3562,Vender
2025-07-18T00:28:33.373773,MANAUSDT,0.3304,61.62,0.3239,0.3211,0.319,0.3099,0.0023,0.0013,0.001,0.3291,0.3214,0.3138,14431875.0,0.3105,Comprar
2025-07-18T00:28:33.411976,SHIBUSDT,1.447e-05,51.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2564476900581.0,0.0,Comprar
2025-07-18T00:28:34.296813,BTCUSDT,119560.16,59.77,119536.1629,118840.3438,118678.8756,117386.8677,289.193,199.3978,89.7953,120098.8025,118858.091,117617.3795,23147.3483,117450.0522,Comprar
2025-07-18T00:28:41.225378,DOTUSDT,4.29,56.43,4.2099,4.205,4.1605,3.9712,0.0233,0.0173,0.006,4.2942,4.208,4.1218,4915263.97,3.9874,Comprar
2025-07-18T00:28:44.171484,SANDUSDT,0.3291,58.43,0.3213,0.3192,0.3169,0.3,0.0022,0.0013,0.0009,0.3273,0.3195,0.3116,31194947.0,0.3053,Comprar
2025-07-18T00:28:44.462685,ADAUSDT,0.8457,60.02,0.8178,0.8017,0.7734,0.7245,0.0158,0.0136,0.0022,0.8411,0.804,0.767,178462651.2,0.7367,Comprar
2025-07-18T00:28:44.590922,ETHUSDT,3478.11,54.3,3449.9629,3431.511,3319.9024,3039.802,39.3942,41.9045,-2.5102,3491.0533,3435.5365,3380.0197,1134904.8266,3073.0376,Vender
2025-07-18T00:28:52.682947,BTCUSDT,119560.16,59.77,119536.1629,118840.3438,118678.8756,117386.8677,289.193,199.3978,89.7953,120098.8025,118858.091,117617.3795,23147.6691,117450.0562,Comprar
2025-07-18T00:28:58.195274,DOTUSDT,4.289,56.33,4.2097,4.2049,4.1605,3.9712,0.0232,0.0173,0.0059,4.2939,4.2079,4.122,4916121.5,3.9874,Comprar
2025-07-18T00:28:58.390719,SUSDT,0.3778,35.27,0.3763,0.3815,0.3747,0.3539,0.0003,0.0015,-0.0012,0.3947,0.382,0.3694,30226188.7,0.3562,Vender
2025-07-18T00:29:00.750278,ADAUSDT,0.846,60.11,0.8178,0.8017,0.7734,0.7245,0.0158,0.0136,0.0023,0.8411,0.8041,0.767,178551674.9,0.7367,Comprar
2025-07-18T00:29:02.304184,BTCUSDT,119560.16,59.77,119536.1629,118840.3438,118678.8756,117386.8677,289.193,199.3978,89.7953,120098.8025,118858.091,117617.3795,23147.7465,117450.0571,Comprar
2025-07-18T00:29:02.373742,ETHUSDT,3478.99,54.47,3450.0886,3431.5529,3319.92,3039.8064,39.4644,41.9185,-2.4541,3491.2334,3435.5805,3379.9276,1135124.7416,3073.0527,Vender
2025-07-18T00:29:12.723388,DOTUSDT,4.29,56.43,4.2099,4.205,4.1605,3.9712,0.0233,0.0173,0.006,4.2942,4.208,4.1218,4918956.99,3.9874,Comprar
2025-07-18T00:29:13.690655,SUSDT,0.3779,35.34,0.3763,0.3815,0.3747,0.3539,0.0003,0.0015,-0.0012,0.3947,0.382,0.3694,30222524.4,0.3562,Vender
2025-07-18T00:29:15.909670,ADAUSDT,0.845,59.79,0.8177,0.8016,0.7734,0.7245,0.0158,0.0136,0.0022,0.8409,0.804,0.7672,178810557.0,0.7367,Comprar
2025-07-18T00:29:16.086558,BTCUSDT,119554.2,59.73,119535.3114,118840.06,118678.7564,117386.8379,288.7176,199.3027,89.4149,120097.8326,118857.793,117617.7534,23150.2491,117450.081,Comprar
2025-07-18T00:29:19.134185,MANAUSDT,0.3306,61.83,0.3239,0.3211,0.319,0.3099,0.0023,0.0013,0.001,0.3292,0.3215,0.3137,14434982.0,0.3105,Comprar
2025-07-18T00:29:21.507457,THETAUSDT,0.869,55.14,0.8546,0.8533,0.8459,0.8037,0.0046,0.0034,0.0011,0.8718,0.8542,0.8366,3948619.1,0.81,Comprar
2025-07-18T00:29:21.624970,SANDUSDT,0.329,58.33,0.3213,0.3192,0.3169,0.3,0.0022,0.0013,0.0009,0.3273,0.3195,0.3117,31198821.0,0.3053,Comprar
2025-07-18T00:29:23.943590,ETHUSDT,3480.01,54.67,3450.2343,3431.6014,3319.9404,3039.8115,39.5458,41.9348,-2.389,3491.4451,3435.6315,3379.8179,1135331.6434,3073.0673,Vender
2025-07-18T00:29:26.451680,SHIBUSDT,1.449e-05,51.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2649816786413.0,0.0,Comprar
2025-07-18T00:29:34.065294,DOTUSDT,4.29,56.43,4.2099,4.205,4.1605,3.9712,0.0233,0.0173,0.006,4.2942,4.208,4.1218,4921338.39,3.9874,Comprar
2025-07-18T00:29:35.011932,ADAUSDT,0.8464,60.23,0.8179,0.8017,0.7734,0.7245,0.0159,0.0136,0.0023,0.8412,0.8041,0.7669,178859899.7,0.7367,Comprar
2025-07-18T00:29:36.771501,MANAUSDT,0.3304,61.62,0.3239,0.3211,0.319,0.3099,0.0023,0.0013,0.001,0.3291,0.3214,0.3138,14437881.0,0.3105,Comprar
2025-07-18T00:29:37.572170,SANDUSDT,0.329,58.33,0.3213,0.3192,0.3169,0.3,0.0022,0.0013,0.0009,0.3273,0.3195,0.3117,31210732.0,0.3053,Comprar
2025-07-18T00:29:40.004560,THETAUSDT,0.869,55.14,0.8546,0.8533,0.8459,0.8037,0.0046,0.0034,0.0011,0.8718,0.8542,0.8366,3948619.1,0.81,Comprar
2025-07-18T00:29:40.021775,SUSDT,0.3779,35.34,0.3763,0.3815,0.3747,0.3539,0.0003,0.0015,-0.0012,0.3947,0.382,0.3694,30207113.3,0.3562,Vender
2025-07-18T00:29:40.169529,BTCUSDT,119553.99,59.73,119535.2814,118840.05,118678.7522,117386.8369,288.7009,199.2993,89.4015,120097.7985,118857.7825,117617.7665,23151.257,117450.0931,Comprar
2025-07-18T00:29:43.605434,ETHUSDT,3481.27,54.91,3450.4143,3431.6614,3319.9656,3039.8178,39.6463,41.9549,-2.3086,3491.7108,3435.6945,3379.6782,1135575.447,3073.0847,Vender
